2025-03-07 10:16:20,916 - INFO - Starting trading simulation with 1000 orders across 8 threads
2025-03-07 10:16:20,916 - INFO - Added Buy order: TEST, 50 shares at $150.00 (ID: Buy-TEST-1741371380.9168375-4420)
2025-03-07 10:16:20,916 - INFO - Added Sell order: TEST, 50 shares at $149.00 (ID: Sell-TEST-1741371380.9168375-6940)
2025-03-07 10:16:20,916 - INFO - Added Buy order: AAPL, 100 shares at $200.00 (ID: Buy-AAPL-1741371380.9168375-8710)
2025-03-07 10:16:20,916 - INFO - Added Sell order: AAPL, 50 shares at $195.00 (ID: Sell-AAPL-1741371380.9168375-4241)
2025-03-07 10:16:20,916 - INFO - Added Buy order: GOOG, 200 shares at $300.00 (ID: Buy-GOOG-1741371380.9168375-6408)
2025-03-07 10:16:20,916 - INFO - Added Sell order: GOOG, 50 shares at $290.00 (ID: Sell-GOOG-1741371380.9168375-7957)
2025-03-07 10:16:20,916 - INFO - Added Sell order: GOOG, 50 shares at $295.00 (ID: Sell-GOOG-1741371380.9168375-2681)
2025-03-07 10:16:20,916 - INFO - MATCH: 50 shares of TEST at $149.00 (Buy ID: Buy-TEST-1741371380.9168375-4420, Sell ID: Sell-TEST-1741371380.9168375-6940)
2025-03-07 10:16:20,916 - INFO - MATCH: 50 shares of GOOG at $290.00 (Buy ID: Buy-GOOG-1741371380.9168375-6408, Sell ID: Sell-GOOG-1741371380.9168375-7957)
2025-03-07 10:16:20,916 - INFO - MATCH: 50 shares of GOOG at $295.00 (Buy ID: Buy-GOOG-1741371380.9168375-6408, Sell ID: Sell-GOOG-1741371380.9168375-2681)
2025-03-07 10:16:20,916 - INFO - MATCH: 50 shares of AAPL at $195.00 (Buy ID: Buy-AAPL-1741371380.9168375-8710, Sell ID: Sell-AAPL-1741371380.9168375-4241)
2025-03-07 10:16:20,916 - INFO - Test matching completed with 4 matches
2025-03-07 10:16:20,916 - INFO - Added Buy order: NVDA, 2 shares at $414.48 (ID: Buy-NVDA-1741371380.9168375-2039)
2025-03-07 10:16:20,916 - INFO - Added Buy order: PYPL, 9 shares at $293.18 (ID: Buy-PYPL-1741371380.9168375-9959)
2025-03-07 10:16:20,916 - INFO - Added Sell order: INTC, 17 shares at $223.09 (ID: Sell-INTC-1741371380.9168375-4494)
2025-03-07 10:16:20,916 - INFO - Added Sell order: GOOG, 78 shares at $131.00 (ID: Sell-GOOG-1741371380.9168375-1710)
2025-03-07 10:16:20,916 - INFO - MATCH: 78 shares of GOOG at $131.00 (Buy ID: Buy-GOOG-1741371380.9168375-6408, Sell ID: Sell-GOOG-1741371380.9168375-1710)
2025-03-07 10:16:20,916 - INFO - Added Sell order: INTC, 1 shares at $147.19 (ID: Sell-INTC-1741371380.9168375-2628)
2025-03-07 10:16:20,916 - INFO - Added Buy order: PYPL, 82 shares at $250.71 (ID: Buy-PYPL-1741371380.9168375-6800)
2025-03-07 10:16:20,916 - INFO - Added Buy order: NFLX, 65 shares at $142.35 (ID: Buy-NFLX-1741371380.9168375-8032)
2025-03-07 10:16:20,916 - INFO - Added Buy order: INTC, 18 shares at $50.26 (ID: Buy-INTC-1741371380.9168375-2154)
2025-03-07 10:16:20,916 - INFO - Added Buy order: NFLX, 49 shares at $200.63 (ID: Buy-NFLX-1741371380.9168375-2034)
2025-03-07 10:16:20,916 - INFO - Added Sell order: AMZN, 95 shares at $345.39 (ID: Sell-AMZN-1741371380.9168375-7479)
2025-03-07 10:16:20,916 - INFO - Added Sell order: NFLX, 44 shares at $190.71 (ID: Sell-NFLX-1741371380.9168375-4991)
2025-03-07 10:16:20,916 - INFO - Added Sell order: META, 30 shares at $473.67 (ID: Sell-META-1741371380.9168375-3456)
2025-03-07 10:16:20,916 - INFO - MATCH: 44 shares of NFLX at $190.71 (Buy ID: Buy-NFLX-1741371380.9168375-2034, Sell ID: Sell-NFLX-1741371380.9168375-4991)
2025-03-07 10:16:20,916 - INFO - Added Buy order: MSFT, 7 shares at $348.48 (ID: Buy-MSFT-1741371380.9168375-4741)
2025-03-07 10:16:20,916 - INFO - Added Buy order: META, 43 shares at $348.90 (ID: Buy-META-1741371380.9168375-9323)
2025-03-07 10:16:20,916 - INFO - Added Sell order: AAPL, 60 shares at $228.89 (ID: Sell-AAPL-1741371380.9168375-4252)
2025-03-07 10:16:20,916 - INFO - Added Sell order: GOOG, 1 shares at $319.89 (ID: Sell-GOOG-1741371380.9168375-3763)
2025-03-07 10:16:20,916 - INFO - Added Sell order: META, 91 shares at $75.81 (ID: Sell-META-1741371380.9168375-1793)
2025-03-07 10:16:20,916 - INFO - MATCH: 43 shares of META at $75.81 (Buy ID: Buy-META-1741371380.9168375-9323, Sell ID: Sell-META-1741371380.9168375-1793)
2025-03-07 10:16:20,916 - INFO - Added Sell order: MSFT, 22 shares at $300.37 (ID: Sell-MSFT-1741371380.9168375-9241)
2025-03-07 10:16:20,916 - INFO - MATCH: 7 shares of MSFT at $300.37 (Buy ID: Buy-MSFT-1741371380.9168375-4741, Sell ID: Sell-MSFT-1741371380.9168375-9241)
